,2,3,4,5,6,7,8,9,T,A
TT,S,S,S,S,S,S,S,S,S,S
99,P,P,P,P,P,S (7P),P,P,S,S (1P)
88,P,P,P,P,P,P,P,P,P (4R),P
77,P,P,P,P,P,P,Ph (2H),H,H (1R),H (4R)
66,P,P,P,P,P,Ph (2H),H,H,H,H
55,D,D,D,D,D,D,D,D (-2H),H (3D),H (4D)
44,H,H,H (4P),Ph (-2H),Ph (-4H),H,H,H,H,H
33,Ph (-2H),Ph (-3H),P,P,P,P,H (7P),H,H,H
22,Ph (-6H),Ph (-6H),P,P,P,P,H,H,H,H
AA,P,P,P,P,P,P,P,P,P,P
A9,S,S,S,S,S,S,S,S,S,S
A8,S,S,S (3D),S (1D),S (1Ds),S,S,S,S,S
A7,S (2D),Ds,Ds,Ds,Ds,S,S,H,H,S (-1H)
A6,D (-1H),D,D,D,D,H,H,H,H,H
A5,H,H,D,D,D,H,H,H,H,H
A4,H,H,D,D,D,H,H,H,H,H
A3,H,H,D (-1H),D,D,H,H,H,H,H
A2,H,H,H (3D),D,D,H,H,H,H,H
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S (-7R)
16,S,S,S,S,S,H,H,H (1R),Rh (-3H),Rh (-2H)
15,S,S,S,S,S,H,H,H (3R),Rh (-1H),H (1R)
14,S,S,S,S,S,H,H,H (8R),H (4R),H (6R)
13,S (-1H),S (-3H),S,S,S,H,H,H,H,H
12,H (5S),H (3S),S,S,S,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,H (2D)
10,D,D,D,D,D,D,D,D (-2H),H (3D),H (3D)
9,H (1D),D,D,D,D,H (4D),H,H,H,H
8,H,H,H (7D),H (4D),H (2D),H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
4,H,H,H,H,H,H,H,H,H,H
3,H,H,H,H,H,H,H,H,H,H
